Username	Category	#Followers	#Followees	#Posts
=======================================================================
makeupbynvs	beauty	1432	1089	363
jaquelinevandoski	beauty	137600	548	569
anisaartistry	beauty	64644	289	391
rubina_muartistry	beauty	496406	742	887
beautyxabbi	beauty	2050	1423	751
vemakeup713	beauty	99226	613	536
glaminfusion	beauty	4717	506	287
paisleymattes	beauty	108193	1240	1008
meghanmakeup_	beauty	1430	1160	284
mariana.beautyy	beauty	6460	2330	469
michellechawkemakeup	beauty	5458	669	481
itsbeauty_bliss	beauty	24344	988	1403
shanmacmua	beauty	102974	903	581
makeupxsyd	beauty	8988	812	392
sandijarquin	beauty	17609	1783	365
victorialyn	beauty	47590	988	1408
meninadibatom	beauty	10020	7502	1942
virginia_maccagno	beauty	35623	1668	806
stephjoyner1989	beauty	5532	1803	2005
jenmiamakeup	beauty	37533	1494	695
hazelbeauty89	beauty	24574	1176	1777
itsvanbeauty	beauty	11948	1938	290
cindyloubindi	beauty	2696	248	1000
hollifer__	beauty	32078	371	270
sayehsmakeup	beauty	203351	232	514
canadian.muas	beauty	1462	1779	660
makeupemalii	beauty	68493	361	1329
jwmua	beauty	31530	994	214
farahpromakeup	beauty	457281	1112	1041
hilijeen_mua	beauty	20885	521	679
ana_b_artistry	beauty	32109	784	815
camouflageandbalayage	beauty	165757	655	3074
with_sabrina	beauty	6252	929	517
carmenvalladolid_	beauty	3274	503	478
ruthiebarone	beauty	71013	1	565
annette_updo_artist	beauty	73963	2325	1332
amypigeonmua	beauty	17975	5587	2087
kaylann_marie	beauty	15201	1660	381
midnight_weirdo	beauty	23072	1636	2152
melisssaspiteri	beauty	74839	383	649
glamz_junkie	beauty	16506	1665	499
saraanddipity	beauty	11657	1938	424
msnataliejean	beauty	14834	986	919
mj_essence	beauty	3062	191	451
iamalexxkyler	beauty	34865	734	1572
valpham	beauty	192909	1077	1131
geribeth23	beauty	60540	7437	1556
cakedbyjess	beauty	5607	3039	265
inngenue	beauty	64403	678	483
alexandralee1016	beauty	27847	737	882
madithemermaid	beauty	2369	2209	496
jeamkin	beauty	4770	1348	1448
sophialcsmakeup	beauty	50403	309	446
withlove.nadia	beauty	255202	392	662
spindelsven	beauty	6344	487	1803
therealmarxicoco	beauty	11676	1759	331
iridescent.amy	beauty	4857	2122	1201
h_love13	beauty	28076	6785	424
erikamariemua	beauty	104392	865	626
ida_elina	beauty	206775	313	957
catanoglam	beauty	12227	1393	791
bexlecter	beauty	37961	796	2101
marisolbautistaa	beauty	593621	397	557
thebeautyelite	beauty	262221	742	665
tingting57live	beauty	13995	40	464
sofia_torress	beauty	138373	213	1991
shayetraceymakeup	beauty	5639	1598	483
beautiception	beauty	25925	648	363
wiskola	beauty	238698	433	541
sydniiee	beauty	55026	1019	5077
sophiemonroeville	beauty	8129	263	588
zavvora	beauty	8314	646	645
thegoodhairday	beauty	22057	882	789
